,Condition,genes,Method,replicate,Step,time_s,mem_gb
75,50,1000,TreePL+ConBL,18,Dating,0.52,0.023964
76,50,1000,TreePL+ConBL,19,Branch length estimation,35.45,1.114468
77,50,1000,TreePL+ConBL,19,Dating,0.53,0.022172
78,50,1000,TreePL+ConBL,20,Branch length estimation,91.46000000000001,1.849972
79,50,1000,TreePL+ConBL,20,Dating,0.55,0.022708
80,100,1000,TreePL+CASTLES-Pro,1,Branch length estimation,1.76,0.26132
81,100,1000,TreePL+CASTLES-Pro,1,Dating,0.66,0.030432
82,100,1000,TreePL+CASTLES-Pro,2,Branch length estimation,1.77,0.261344
83,100,1000,TreePL+CASTLES-Pro,2,Dating,0.79,0.030428
84,100,1000,TreePL+CASTLES-Pro,3,Branch length estimation,1.88,0.261252
85,100,1000,TreePL+CASTLES-Pro,3,Dating,0.79,0.031188
86,100,1000,TreePL+CASTLES-Pro,4,Branch length estimation,2.14,0.261224
87,100,1000,TreePL+CASTLES-Pro,4,Dating,1.05,0.030676
88,100,1000,TreePL+CASTLES-Pro,5,Branch length estimation,1.82,0.261332
89,100,1000,TreePL+CASTLES-Pro,5,Dating,1.05,0.032456
90,100,1000,TreePL+CASTLES-Pro,6,Branch length estimation,2.05,0.261312
91,100,1000,TreePL+CASTLES-Pro,6,Dating,1.09,0.032448
92,100,1000,TreePL+CASTLES-Pro,7,Branch length estimation,1.84,0.261392
93,100,1000,TreePL+CASTLES-Pro,7,Dating,0.69,0.02962
94,100,1000,TreePL+CASTLES-Pro,8,Branch length estimation,1.65,0.261256
95,100,1000,TreePL+CASTLES-Pro,8,Dating,0.76,0.030412
96,100,1000,TreePL+CASTLES-Pro,9,Branch length estimation,1.71,0.26132
97,100,1000,TreePL+CASTLES-Pro,9,Dating,1.08,0.0306
98,100,1000,TreePL+CASTLES-Pro,10,Branch length estimation,2.15,0.261152
99,100,1000,TreePL+CASTLES-Pro,10,Dating,2.29,0.032988
100,100,1000,TreePL+CASTLES-Pro,11,Branch length estimation,2.34,0.261396
101,100,1000,TreePL+CASTLES-Pro,11,Dating,0.63,0.031396
102,100,1000,TreePL+CASTLES-Pro,12,Branch length estimation,1.87,0.261352
103,100,1000,TreePL+CASTLES-Pro,12,Dating,1.38,0.0314
104,100,1000,TreePL+CASTLES-Pro,13,Branch length estimation,1.72,0.271708
105,100,1000,TreePL+CASTLES-Pro,13,Dating,1.32,0.029616
106,100,1000,TreePL+CASTLES-Pro,14,Branch length estimation,1.86,0.261328
107,100,1000,TreePL+CASTLES-Pro,14,Dating,1.13,0.030884
108,100,1000,TreePL+CASTLES-Pro,15,Branch length estimation,1.99,0.261324
109,100,1000,TreePL+CASTLES-Pro,15,Dating,1.52,0.032456
110,100,1000,TreePL+CASTLES-Pro,16,Branch length estimation,1.97,0.26132
111,100,1000,TreePL+CASTLES-Pro,16,Dating,1.78,0.032184
112,100,1000,TreePL+CASTLES-Pro,17,Branch length estimation,1.78,0.261232
113,100,1000,TreePL+CASTLES-Pro,17,Dating,1.01,0.033016
114,100,1000,TreePL+CASTLES-Pro,18,Branch length estimation,1.58,0.26132
115,100,1000,TreePL+CASTLES-Pro,18,Dating,1.42,0.032716
116,100,1000,TreePL+CASTLES-Pro,19,Branch length estimation,2.19,0.261404
117,100,1000,TreePL+CASTLES-Pro,19,Dating,1.72,0.032688
118,100,1000,TreePL+CASTLES-Pro,20,Branch length estimation,1.81,0.26128
119,100,1000,TreePL+CASTLES-Pro,20,Dating,1.55,0.030428
120,100,1000,TreePL+ConBL,1,Branch length estimation,133.34,3.658472
121,100,1000,TreePL+ConBL,1,Dating,0.91,0.030896
122,100,1000,TreePL+ConBL,2,Branch length estimation,78.03,2.276908
123,100,1000,TreePL+ConBL,2,Dating,0.81,0.03088
124,100,1000,TreePL+ConBL,3,Branch length estimation,162.59,3.42876
125,100,1000,TreePL+ConBL,3,Dating,1.12,0.029628
126,100,1000,TreePL+ConBL,4,Branch length estimation,113.78999999999999,2.546284
127,100,1000,TreePL+ConBL,4,Dating,1.41,0.030392
128,100,1000,TreePL+ConBL,5,Branch length estimation,107.49000000000001,3.843776
129,100,1000,TreePL+ConBL,5,Dating,1.18,0.030596
130,100,1000,TreePL+ConBL,6,Branch length estimation,88.36,2.486392
131,100,1000,TreePL+ConBL,6,Dating,1.27,0.032972
132,100,1000,TreePL+ConBL,7,Branch length estimation,162.15,3.507424
