,Condition,genes,Method,replicate,time_s,mem_gb
87,200,1000,TreePL+CASTLES-Pro,8,8.88,0.519344
88,200,1000,TreePL+CASTLES-Pro,9,9.33,0.51918
89,200,1000,TreePL+CASTLES-Pro,10,7.77,0.519208
90,200,1000,TreePL+CASTLES-Pro,11,11.95,0.540504
91,200,1000,TreePL+CASTLES-Pro,12,9.29,0.521
92,200,1000,TreePL+CASTLES-Pro,13,11.39,0.521036
93,200,1000,TreePL+CASTLES-Pro,14,9.02,0.519268
94,200,1000,TreePL+CASTLES-Pro,15,6.93,0.519264
95,200,1000,TreePL+CASTLES-Pro,16,7.34,0.519256
96,200,1000,TreePL+CASTLES-Pro,17,7.33,0.519332
97,200,1000,TreePL+CASTLES-Pro,18,7.7,0.519244
98,200,1000,TreePL+CASTLES-Pro,19,8.39,0.519184
99,200,1000,TreePL+CASTLES-Pro,20,8.969999999999999,0.51926
100,200,1000,TreePL+ConBL,1,425.51,8.545964
101,200,1000,TreePL+ConBL,2,421.6,8.781068
102,200,1000,TreePL+ConBL,3,405.51,8.412312
103,200,1000,TreePL+ConBL,4,323.18,7.586364
104,200,1000,TreePL+ConBL,5,183.73999999999998,4.694036
105,200,1000,TreePL+ConBL,6,665.35,9.058412
106,200,1000,TreePL+ConBL,7,346.36,7.256936
107,200,1000,TreePL+ConBL,8,628.78,8.151492
108,200,1000,TreePL+ConBL,9,477.43,7.019688
109,200,1000,TreePL+ConBL,10,321.14,6.679532
110,200,1000,TreePL+ConBL,11,140.27,3.429488
111,200,1000,TreePL+ConBL,12,266.66999999999996,6.364224
112,200,1000,TreePL+ConBL,13,187.14,4.561124
113,200,1000,TreePL+ConBL,14,509.29,8.885624
114,200,1000,TreePL+ConBL,15,405.84999999999997,8.202816
115,200,1000,TreePL+ConBL,16,345.55999999999995,7.770516
116,200,1000,TreePL+ConBL,17,318.15999999999997,7.507628
117,200,1000,TreePL+ConBL,18,238.89000000000001,5.931036
118,200,1000,TreePL+ConBL,19,371.73999999999995,7.994036
119,200,1000,TreePL+ConBL,20,574.87,9.321448
120,500,1000,TreePL+CASTLES-Pro,1,50.31,1.289992
121,500,1000,TreePL+CASTLES-Pro,2,45.199999999999996,1.289856
122,500,1000,TreePL+CASTLES-Pro,3,45.760000000000005,1.289968
123,500,1000,TreePL+CASTLES-Pro,4,46.0,1.289928
124,500,1000,TreePL+CASTLES-Pro,5,57.980000000000004,1.290048
125,500,1000,TreePL+CASTLES-Pro,6,51.53,1.290316
126,500,1000,TreePL+CASTLES-Pro,7,49.28,1.29006
127,500,1000,TreePL+CASTLES-Pro,8,57.44,1.290116
128,500,1000,TreePL+CASTLES-Pro,9,42.8,1.289984
129,500,1000,TreePL+CASTLES-Pro,10,44.72,1.290204
130,500,1000,TreePL+CASTLES-Pro,11,40.09,1.289972
131,500,1000,TreePL+CASTLES-Pro,12,50.24,1.290024
132,500,1000,TreePL+CASTLES-Pro,13,42.11,1.289984
133,500,1000,TreePL+CASTLES-Pro,14,42.599999999999994,1.28992
134,500,1000,TreePL+CASTLES-Pro,15,51.41,1.290068
135,500,1000,TreePL+CASTLES-Pro,16,53.89,1.289836
136,500,1000,TreePL+CASTLES-Pro,17,42.83,1.290316
137,500,1000,TreePL+CASTLES-Pro,18,46.57,1.29002
138,500,1000,TreePL+CASTLES-Pro,19,41.82,1.291876
139,500,1000,TreePL+CASTLES-Pro,20,45.66,1.289944
140,500,1000,TreePL+ConBL,1,1242.6799999999998,23.964532
141,500,1000,TreePL+ConBL,2,888.63,19.860712
142,500,1000,TreePL+ConBL,3,1459.59,23.864876
143,500,1000,TreePL+ConBL,4,1269.8100000000002,24.84978
144,500,1000,TreePL+ConBL,5,1312.86,22.059164
145,500,1000,TreePL+ConBL,6,996.44,18.580704
146,500,1000,TreePL+ConBL,7,1261.45,22.159344
147,500,1000,TreePL+ConBL,8,1576.29,24.622648
148,500,1000,TreePL+ConBL,9,5551.03,25.177544
149,500,1000,TreePL+ConBL,10,2410.32,26.098192
150,500,1000,TreePL+ConBL,11,2006.39,25.07968
151,500,1000,TreePL+ConBL,12,1144.1200000000001,22.419736
152,500,1000,TreePL+ConBL,13,1321.04,23.308068
153,500,1000,TreePL+ConBL,14,1029.52,22.682412
154,500,1000,TreePL+ConBL,15,1375.6100000000001,22.750432
155,500,1000,TreePL+ConBL,16,898.26,18.6148
156,500,1000,TreePL+ConBL,17,1772.9199999999998,24.915412
157,500,1000,TreePL+ConBL,18,2212.27,25.701048
158,500,1000,TreePL+ConBL,19,1749.6799999999998,24.816036
159,500,1000,TreePL+ConBL,20,1116.94,22.84832
160,1000,1000,TreePL+CASTLES-Pro,1,68.16,2.576708
161,1000,1000,TreePL+CASTLES-Pro,2,71.69999999999999,2.577204
162,1000,1000,TreePL+CASTLES-Pro,3,168.85000000000002,2.578696
163,1000,1000,TreePL+CASTLES-Pro,4,71.44,2.576896
164,1000,1000,TreePL+CASTLES-Pro,5,87.05000000000001,2.576164
165,1000,1000,TreePL+CASTLES-Pro,6,107.0,2.579528
166,1000,1000,TreePL+CASTLES-Pro,7,77.14,2.578572
167,1000,1000,TreePL+CASTLES-Pro,8,56.379999999999995,2.577628
168,1000,1000,TreePL+CASTLES-Pro,9,78.0,2.57774
169,1000,1000,TreePL+CASTLES-Pro,10,57.61,2.5768
170,1000,1000,TreePL+CASTLES-Pro,11,61.36,2.577136
171,1000,1000,TreePL+CASTLES-Pro,12,75.07,2.577364
172,1000,1000,TreePL+CASTLES-Pro,13,51.07,2.577892
173,1000,1000,TreePL+CASTLES-Pro,14,75.81,2.579192
174,1000,1000,TreePL+CASTLES-Pro,15,49.56,2.5783
175,1000,1000,TreePL+CASTLES-Pro,16,49.86,2.57678
176,1000,1000,TreePL+CASTLES-Pro,17,58.56,2.57694
177,1000,1000,TreePL+CASTLES-Pro,18,61.489999999999995,2.576668
178,1000,1000,TreePL+CASTLES-Pro,19,102.71000000000001,2.576904
179,1000,1000,TreePL+CASTLES-Pro,20,51.39,2.576816
180,1000,1000,TreePL+ConBL,1,1423.56,51.168664
181,1000,1000,TreePL+ConBL,2,3049.7400000000002,51.105308
182,1000,1000,TreePL+ConBL,3,3330.38,50.449628
183,1000,1000,TreePL+ConBL,4,2927.5699999999997,52.421128
184,1000,1000,TreePL+ConBL,5,4935.36,41.193232
185,1000,1000,TreePL+ConBL,6,2218.37,39.81222
186,1000,1000,TreePL+ConBL,7,5199.11,46.183248
187,1000,1000,TreePL+ConBL,8,6303.46,50.839612
188,1000,1000,TreePL+ConBL,9,5223.39,48.873748
189,1000,1000,TreePL+ConBL,10,4768.55,50.381684
190,1000,1000,TreePL+ConBL,11,5146.96,53.361188
191,1000,1000,TreePL+ConBL,12,5869.76,53.207256
192,1000,1000,TreePL+ConBL,13,6645.24,50.973068
193,1000,1000,TreePL+ConBL,14,6071.5,51.302316
194,1000,1000,TreePL+ConBL,15,4313.33,48.21698
195,1000,1000,TreePL+ConBL,16,2415.83,51.495928
196,1000,1000,TreePL+ConBL,17,7093.33,51.36684
197,1000,1000,TreePL+ConBL,18,12629.01,52.024564
198,1000,1000,TreePL+ConBL,19,1677.94,35.416124
199,1000,1000,TreePL+ConBL,20,2501.95,45.58926
200,2000,1000,TreePL+CASTLES-Pro,1,278.17999999999995,5.15462
201,2000,1000,TreePL+CASTLES-Pro,2,337.87,5.158392
202,2000,1000,TreePL+CASTLES-Pro,3,343.33,5.156036
203,2000,1000,TreePL+CASTLES-Pro,4,329.34,5.157812
204,2000,1000,TreePL+CASTLES-Pro,5,341.59,5.156152
205,2000,1000,TreePL+CASTLES-Pro,6,390.20000000000005,5.161844
206,2000,1000,TreePL+CASTLES-Pro,7,220.16000000000003,5.157472
207,2000,1000,TreePL+CASTLES-Pro,8,415.27,5.161112
208,2000,1000,TreePL+CASTLES-Pro,9,292.26,5.157988
209,2000,1000,TreePL+CASTLES-Pro,10,389.84,5.162372
210,2000,1000,TreePL+CASTLES-Pro,11,438.49,5.162008
211,2000,1000,TreePL+CASTLES-Pro,12,324.63,5.1587
212,2000,1000,TreePL+CASTLES-Pro,13,415.96999999999997,5.160552
213,2000,1000,TreePL+CASTLES-Pro,14,297.19,5.15894
214,2000,1000,TreePL+CASTLES-Pro,15,263.78,5.158684
215,2000,1000,TreePL+CASTLES-Pro,16,268.34000000000003,5.157356
216,2000,1000,TreePL+CASTLES-Pro,17,371.18000000000006,5.16004
217,2000,1000,TreePL+CASTLES-Pro,18,296.47,5.156944
218,2000,1000,TreePL+CASTLES-Pro,19,253.41,5.158188
219,2000,1000,TreePL+CASTLES-Pro,20,362.42,5.162464
220,5000,1000,TreePL+CASTLES-Pro,1,769.89,12.979792
221,5000,1000,TreePL+CASTLES-Pro,2,613.45,12.981244
222,5000,1000,TreePL+CASTLES-Pro,3,651.1700000000001,12.979148
223,5000,1000,TreePL+CASTLES-Pro,4,806.44,12.980672
224,5000,1000,TreePL+CASTLES-Pro,5,924.9100000000001,12.97906
225,5000,1000,TreePL+CASTLES-Pro,6,917.71,12.979696
226,5000,1000,TreePL+CASTLES-Pro,7,681.6099999999999,12.978168
227,5000,1000,TreePL+CASTLES-Pro,8,1006.89,12.991136
228,5000,1000,TreePL+CASTLES-Pro,10,2077.63,12.98502
229,5000,1000,TreePL+CASTLES-Pro,11,871.5500000000001,12.991948
230,5000,1000,TreePL+CASTLES-Pro,12,1561.27,12.978176
231,5000,1000,TreePL+CASTLES-Pro,13,761.86,12.98012
232,5000,1000,TreePL+CASTLES-Pro,14,799.74,12.982412
233,5000,1000,TreePL+CASTLES-Pro,15,780.94,12.978904
234,5000,1000,TreePL+CASTLES-Pro,16,561.8,12.981152
235,5000,1000,TreePL+CASTLES-Pro,17,428.01,12.979328
236,5000,1000,TreePL+CASTLES-Pro,18,783.79,12.988944
237,5000,1000,TreePL+CASTLES-Pro,19,6938.44,12.973208
238,5000,1000,TreePL+CASTLES-Pro,20,1025.9099999999999,12.978484
239,10000,1000,TreePL+CASTLES-Pro,1,46683.95,25.843912
240,10000,1000,TreePL+CASTLES-Pro,2,2109.91,25.863756
241,10000,1000,TreePL+CASTLES-Pro,3,2120.9,25.844468
242,10000,1000,TreePL+CASTLES-Pro,4,2665.62,25.871064
243,10000,1000,TreePL+CASTLES-Pro,5,2792.4,25.866776
244,10000,1000,TreePL+CASTLES-Pro,6,5418.85,25.847552
245,10000,1000,TreePL+CASTLES-Pro,7,2586.0499999999997,25.862864
246,10000,1000,TreePL+CASTLES-Pro,8,3101.62,25.847092
247,10000,1000,TreePL+CASTLES-Pro,9,3274.4,25.863072
248,10000,1000,TreePL+CASTLES-Pro,10,3685.6499999999996,25.867024
249,10000,1000,TreePL+CASTLES-Pro,11,3684.17,25.849456
250,10000,1000,TreePL+CASTLES-Pro,12,2741.59,25.883352
251,10000,1000,TreePL+CASTLES-Pro,13,4336.35,25.876084
252,10000,1000,TreePL+CASTLES-Pro,14,4747.09,25.942556
253,10000,1000,TreePL+CASTLES-Pro,15,55363.99,25.86058
254,10000,1000,TreePL+CASTLES-Pro,16,2551.63,25.8627
255,10000,1000,TreePL+CASTLES-Pro,17,3543.11,25.844256
256,10000,1000,TreePL+CASTLES-Pro,18,24243.0,25.862528
257,10000,1000,TreePL+CASTLES-Pro,19,9804.79,25.938608
258,10000,1000,TreePL+CASTLES-Pro,20,3617.74,25.841352
