,Calibrations,Condition,Outgroup,Method,replicate,l-true,l-est
0,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,01,0.2869735097914402,0.3405654581924299
1,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,02,0.3517386576590759,0.3466955886492294
2,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,03,0.3991487354398542,0.4356617341720546
3,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,04,0.3394295652522153,0.35687163754245527
4,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,05,0.3716836028772108,0.3866694024984035
5,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,06,0.31431040173331126,0.3302188526764982
6,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,07,0.3843672413529946,0.40215182869907745
7,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,08,0.37002302711832624,0.42709936339298304
8,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,09,0.3192845953685708,0.35448162638338815
9,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,10,0.3390700754449305,0.39022644356583497
10,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,11,0.387676530014583,0.4355735610958476
11,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,12,0.2926663448114712,0.34071484776050553
12,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,13,0.35508879324635195,0.3628961675665463
13,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,14,0.38674952956166386,0.39299092345732145
14,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,15,0.42224311688500243,0.4435038936665746
15,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,16,0.3427390109426372,0.39582922570657536
16,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,17,0.3866668356284448,0.412777538253745
17,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,18,0.3150376118886787,0.33100359330301765
18,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,19,0.35603261018628246,0.3656597233182603
19,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,20,0.3225437094287793,0.35762754721914375
20,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,21,0.3391663891394145,0.40315478972090724
21,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,22,0.35580059440000794,0.38904963924051117
22,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,23,0.3194318472261913,0.3228260210629919
23,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,24,0.34627840745129507,0.3488718646036262
24,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,25,0.3328313319128605,0.3630409418240517
25,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,26,0.37167960225799007,0.40694326817673565
26,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,27,0.36230392753056206,0.4110175438127532
27,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,28,0.41188955465763316,0.41654147162041144
28,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,29,0.30238206806544227,0.31824536283155935
29,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,30,0.34222553937965955,0.34907397363644765
30,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,31,0.3339772345500268,0.40632600284427933
31,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,32,0.25087266696571586,0.24986000845523043
32,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,33,0.3303034735802588,0.34510015864893334
33,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,34,0.38554020724164806,0.3753814674539622
34,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,35,0.33167333730594734,0.32263051029631407
35,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,36,0.34207352704337074,0.3927938370741175
36,3,fasttree_genetrees_1600_non,False,LSD+CASTLES-Pro,37,0.40675292375264355,0.4155223789390512
