,Taxon,Node Type,l1,l2,l1/l2,Topology
1365,  ,internal,0.047,0.359,0.13091922,ASTRAL
1366,  ,internal,0.111,0.472,0.235169492,ASTRAL
1367,  ,internal,0.201,0.651,0.30875576,ASTRAL
1368,  ,internal,0.304,0.709,0.42877292,ASTRAL
1369,  ,internal,0.817,0.915,0.892896175,ASTRAL
1370,  ,internal,0.293,0.303,0.9669967,ASTRAL
1371,  ,internal,1.165,2.078,0.560635226,ASTRAL
1372,  ,internal,1.97,2.094,0.94078319,ASTRAL
1373,  ,internal,0.192,0.963,0.199376947,ASTRAL
1374,  ,internal,0.151,1.583,0.095388503,ASTRAL
1375,  ,internal,1.492,3.039,0.490950971,ASTRAL
1376,  ,internal,2.278,4.094,0.556424035,ASTRAL
1377,  ,internal,2.909,4.342,0.669967757,ASTRAL
1378,  ,internal,3.152,5.53,0.569981917,ASTRAL
1379,  ,internal,0.949,0.689,1.377358491,ASTRAL
1380,  ,internal,3.934,5.625,0.699377778,ASTRAL
1381,  ,internal,4.519,5.692,0.793921293,ASTRAL
1382,  ,internal,4.851,5.888,0.823879076,ASTRAL
1383,  ,internal,0.24,1.062,0.225988701,ASTRAL
1384,  ,internal,0.822,1.906,0.431269675,ASTRAL
1385,  ,internal,1.839,1.967,0.934926284,ASTRAL
1386,  ,internal,2.019,2.754,0.733115468,ASTRAL
1387,  ,internal,2.98,2.862,1.041229909,ASTRAL
1388,  ,internal,0.117,0.964,0.121369295,ASTRAL
1389,  ,internal,0.236,1.198,0.196994992,ASTRAL
1390,  ,internal,1.454,1.224,1.187908497,ASTRAL
1391,  ,internal,1.77,1.253,1.412609737,ASTRAL
1392,  ,internal,3.384,5.651,0.598832065,ASTRAL
1393,  ,internal,4.638,5.661,0.819289878,ASTRAL
1394,  ,internal,5.443,8.813,0.617610348,ASTRAL
1395,  ,internal,5.724,9.32,0.61416309,ASTRAL
1396,  ,internal,6.989,9.468,0.73817068,ASTRAL
1397,  ,internal,2.017,8.889,0.226909664,ASTRAL
1398,  ,internal,0.38,1.627,0.233558697,ASTRAL
1399,  ,internal,0.286,2.158,0.13253012,ASTRAL
1400,  ,internal,1.115,2.304,0.483940972,ASTRAL
1401,  ,internal,1.831,2.339,0.782813168,ASTRAL
1402,  ,internal,0.44,0.875,0.502857143,ASTRAL
1403,  ,internal,2.563,5.476,0.468042367,ASTRAL
1404,  ,internal,3.164,5.706,0.554504031,ASTRAL
1405,  ,internal,4.805,5.709,0.84165353,ASTRAL
1406,  ,internal,0.422,1.228,0.343648208,ASTRAL
1407,  ,internal,1.741,1.387,1.255227109,ASTRAL
1408,  ,internal,0.3,1.104,0.27173913,ASTRAL
1409,  ,internal,3.824,4.676,0.817792985,ASTRAL
1410,  ,internal,0.128,0.601,0.212978369,ASTRAL
1411,  ,internal,0.926,1.132,0.818021201,ASTRAL
1412,  ,internal,0.766,2.443,0.313548915,ASTRAL
1413,  ,internal,3.448,4.841,0.712249535,ASTRAL
1414,  ,internal,0.027,0.461,0.05856833,ASTRAL
1415,  ,internal,0.207,0.702,0.294871795,ASTRAL
1416,  ,internal,0.352,0.749,0.469959947,ASTRAL
1417,  ,internal,0.069,0.511,0.135029354,ASTRAL
1418,  ,internal,0.109,0.649,0.167950693,ASTRAL
1419,  ,internal,0.528,1.104,0.47826087,ASTRAL
1420,  ,internal,0.561,1.231,0.455727051,ASTRAL
1421,  ,internal,0.708,1.5,0.472,ASTRAL
1422,  ,internal,0.11,0.581,0.189328744,ASTRAL
1423,  ,internal,0.132,0.655,0.201526718,ASTRAL
1424,  ,internal,0.197,0.691,0.285094067,ASTRAL
1425,  ,internal,0.463,0.721,0.642163662,ASTRAL
1426,  ,internal,0.545,1.059,0.514636449,ASTRAL
1427,  ,internal,0.645,1.129,0.571302037,ASTRAL
1428,  ,internal,0.779,1.476,0.527777778,ASTRAL
1429,  ,internal,0.831,1.707,0.486818981,ASTRAL
1430,  ,internal,0.091,0.86,0.105813953,ASTRAL
1431,  ,internal,0.402,0.98,0.410204082,ASTRAL
1432,  ,internal,0.781,1.031,0.757516974,ASTRAL
1433,  ,internal,0.274,0.567,0.48324515,ASTRAL
1434,  ,internal,0.774,1.413,0.547770701,ASTRAL
1435,  ,internal,0.899,1.508,0.596153846,ASTRAL
1436,  ,internal,0.966,1.743,0.554216867,ASTRAL
1437,  ,internal,1.003,1.812,0.553532009,ASTRAL
1438,  ,internal,1.249,1.842,0.678067318,ASTRAL
1439,  ,internal,1.464,1.845,0.793495935,ASTRAL
1440,  ,internal,1.524,2.244,0.679144385,ASTRAL
1441,  ,internal,0.183,0.637,0.287284144,ASTRAL
1442,  ,internal,0.238,0.73,0.326027397,ASTRAL
1443,  ,internal,0.43,0.772,0.556994819,ASTRAL
1444,  ,internal,0.682,0.83,0.821686747,ASTRAL
1445,  ,internal,0.134,0.427,0.31381733,ASTRAL
1446,  ,internal,0.827,1.122,0.737076649,ASTRAL
1447,  ,internal,1.228,1.16,1.05862069,ASTRAL
1448,  ,internal,0.309,0.984,0.31402439,ASTRAL
