,Taxon,Branch Type,l1,l2,l1/l2,Method
706,  ,internal,1.9959,1.2765,1.56357227,MD-Cat
707,Phasianus colchicus,terminal,15.2732,18.3525,0.8322136,MD-Cat
708,  ,internal,10.7602,6.7498,1.59415094,MD-Cat
709,Gallus gallus,terminal,24.0623,23.0442,1.04418031,MD-Cat
710,Coturnix japonica,terminal,24.0623,23.0442,1.04418031,MD-Cat
711,  ,internal,1.9711,2.0582,0.95768147,MD-Cat
712,  ,internal,6.3644,6.8745,0.92579824,MD-Cat
713,Odontophorus gujanensis,terminal,15.2679,14.767,1.03392023,MD-Cat
714,Colinus virginianus,terminal,8.4108,7.379,1.13982925,MD-Cat
715,Callipepla squamata,terminal,8.4108,7.379,1.13982925,MD-Cat
716,  ,internal,6.8572,7.388,0.92815376,MD-Cat
717,  ,internal,17.1298,17.2099,0.9953457,MD-Cat
718,  ,internal,0.4002,1.732,0.23106236,MD-Cat
719,  ,internal,21.412,19.2679,1.11127834,MD-Cat
720,  ,internal,11.0378,4.6515,2.37295496,MD-Cat
721,  ,internal,2.4923,10.1117,0.24647685,MD-Cat
722,  ,internal,28.533,14.9481,1.90880446,MD-Cat
