taxa	code	order	family	clade_mag7 	number_mag7	color_mag7	color_mag7_hex
Brachypodius_atriceps	BRAATR	Passeriformes	Pycnonotidae	Telluraves	1	green	#32A287
Brachypteracias_leptosomus	BRALEP	Coraciiformes	Brachypteraciidae	Telluraves	1	green	#32A287
Bucco_capensis	BUCCAP	Piciformes	Bucconidae	Telluraves	1	green	#32A287
Buceros_rhinoceros	BUCRHI	Bucerotiformes	Bucerotidae	Telluraves	1	green	#32A287
Bucorvus_abyssinicus	BUCABY	Bucerotiformes	Bucerotidae	Telluraves	1	green	#32A287
Buphagus_erythrorhynchus	BUPERY	Passeriformes	Buphagidae	Telluraves	1	green	#32A287
Burhinus_bistriatus	BURBIS	Charadriiformes	Burhinidae	Cursorimorphae	4	yellow	#E4D6A0
Cairina_moschata	CAIMOS	Anseriformes	Anatidae	Galloanseres	NA	black	#7D0D14
Calcarius_ornatus	CALORN	Passeriformes	Plectrophenacidae	Telluraves	1	green	#32A287
Calidris_pugnax	CALPUG	Charadriiformes	Scolopacidae	Cursorimorphae	4	yellow	#E4D6A0
Callaeas_wilsoni	CALWIL	Passeriformes	Callaeidae	Telluraves	1	green	#32A287
Callipepla_squamata	CALSQU	Galliformes	Odontophoridae	Galloanseres	NA	black	#7D0D14
Caloenas_nicobarica	CALNIC	Columbiformes	Columbidae	Columbimorphae	6	purple	#F3722C
Calonectris_borealis	CALBOR	Procellariiformes	Procellariidae	Aequornithes	2	darkblue	#1F7A8C
Calypte_anna	CALANN	Strisores	Trochilidae	Strisores	8	brown	#C4D6B0
Calyptomena_viridis	CALVIR	Passeriformes	Calyptomenidae	Telluraves	1	green	#32A287
Campylorhamphus_procurvoides	CAMPRO	Passeriformes	Dendrocolaptidae	Telluraves	1	green	#32A287
Cardinalis_cardinalis	CARCAR	Passeriformes	Cardinalidae	Telluraves	1	green	#32A287
Cariama_cristata	CARCRI	Cariamiformes	Cariamidae	Telluraves	1	green	#32A287
Casuarius_casuarius	CASCAS	Casuariiformes	Casuariidae	Palaeognathae	NA	black	#570407
Cathartes_aura	CATAUR	Accipitriformes	Cathartidae	Telluraves	1	green	#32A287
Catharus_fuscescens	CATFUS	Passeriformes	Turdidae	Telluraves	1	green	#32A287
Centropus_bengalensis	CENBEN	Cuculiformes	Cuculidae	Otidimorphae	5	red	#F8961E
Centropus_unirufus	CENUNI	Cuculiformes	Cuculidae	Otidimorphae	5	red	#F8961E
Cephalopterus_ornatus	CEPORN	Passeriformes	Cotingidae	Telluraves	1	green	#32A287
Cepphus_grylle	CEPGRY	Charadriiformes	Alcidae	Cursorimorphae	4	yellow	#E4D6A0
Cercotrichas_coryphaeus	CERCOR	Passeriformes	Muscicapidae	Telluraves	1	green	#32A287
Certhia_brachydactyla	CERBRA	Passeriformes	Certhiidae	Telluraves	1	green	#32A287
Certhia_familiaris	CERFAM	Passeriformes	Certhiidae	Telluraves	1	green	#32A287
Cettia_cetti	CETCET	Passeriformes	Scotocercidae	Telluraves	1	green	#32A287
Ceuthmochares_aereus	CEUAER	Cuculiformes	Cuculidae	Otidimorphae	5	red	#F8961E
Ceyx_cyanopectus	CEYCYA	Coraciiformes	Alcedinidae	Telluraves	1	green	#32A287
Chaetops_frenatus	CHAFRE	Passeriformes	Eupetidae	Telluraves	1	green	#32A287
Chaetorhynchus_papuensis	CHAPAP	Passeriformes	Rhipiduridae	Telluraves	1	green	#32A287
Chaetura_pelagica	CHAPEL	Strisores	Apodidae	Strisores	8	brown	#C4D6B0
Charadrius_alexandrinus	CHAALE	Charadriiformes	Charadriidae	Cursorimorphae	4	yellow	#E4D6A0
Charadrius_vociferus	CHAVOC	Charadriiformes	Charadriidae	Cursorimorphae	4	yellow	#E4D6A0
Chauna_torquata	CHATOR	Anseriformes	Anhimidae	Galloanseres	NA	black	#7D0D14
Chionis_minor	CHIMIN	Charadriiformes	Chionidae	Cursorimorphae	4	yellow	#E4D6A0
Chlamydotis_macqueenii	CHLMAC	Otidiformes	Otididae	Otidimorphae	5	red	#F8961E
Chloroceryle_aenea	CHLAEN	Coraciiformes	Alcedinidae	Telluraves	1	green	#32A287
Chlorodrepanis_virens	CHLVIR	Passeriformes	Fringillidae	Telluraves	1	green	#32A287
Chloropsis_cyanopogon	CHLCYA	Passeriformes	Irenidae	Telluraves	1	green	#32A287
Chloropsis_hardwickii	CHLHAR	Passeriformes	Irenidae	Telluraves	1	green	#32A287
Chordeiles_acutipennis	CHOACU	Strisores	Caprimulgidae	Strisores	8	brown	#C4D6B0
Chroicocephalus_maculipennis	CHRMAC	Charadriiformes	Laridae	Cursorimorphae	4	yellow	#E4D6A0
Chunga_burmeisteri	CHUBUR	Cariamiformes	Cariamidae	Telluraves	1	green	#32A287
Ciccaba_nigrolineata	CICNIG	Strigiformes	Strigidae	Telluraves	1	green	#32A287
Ciconia_maguari	CICMAG	Pelecaniformes	Ciconiidae	Aequornithes	2	darkblue	#1F7A8C
Cinclus_mexicanus	CINMEX	Passeriformes	Cinclidae	Telluraves	1	green	#32A287
Circaetus_pectoralis	CIRPEC	Accipitriformes	Accipitridae	Telluraves	1	green	#32A287
Cisticola_juncidis	CISJUN	Passeriformes	Cisticolidae	Telluraves	1	green	#32A287
Climacteris_rufus	CLIRUF	Passeriformes	Climacteridae	Telluraves	1	green	#32A287
Cnemophilus_loriae	CNELOR	Passeriformes	Cnemophilidae	Telluraves	1	green	#32A287
Cochlearius_cochlearius	COCCOC	Pelecaniformes	Ardeidae	Aequornithes	2	darkblue	#1F7A8C
Colinus_virginianus	COLVIR	Galliformes	Odontophoridae	Galloanseres	NA	black	#7D0D14
Colius_striatus	COLSTR	Coliiformes	Coliidae	Telluraves	1	green	#32A287
Columba_livia	COLLIV	Columbiformes	Columbidae	Columbimorphae	6	purple	#F3722C
Columbina_picui	COLPIC	Columbiformes	Columbidae	Columbimorphae	6	purple	#F3722C
Copsychus_sechellarum	COPSEC	Passeriformes	Muscicapidae	Telluraves	1	green	#32A287
Corvus_brachyrhynchos	CORBRA	Passeriformes	Corvidae	Telluraves	1	green	#32A287
Corvus_cornix	CORCOR	Passeriformes	Corvidae	Telluraves	1	green	#32A287
Corvus_moneduloides	CORMON	Passeriformes	Corvidae	Telluraves	1	green	#32A287
Corythaeola_cristata	CORCRI	Musophagiformes	Musophagidae	Otidimorphae	4	red	#F8961E
Corythaixoides_concolor	CORCON	Musophagiformes	Musophagidae	Otidimorphae	4	red	#F8961E
