taxa	code	order	family	clade_mag7 	number_mag7	color_mag7	color_mag7_hex
Probosciger_aterrimus	PROATE	Psittaciformes	Cacatuidae	Telluraves	1	green	#32A287
Promerops_cafer	PROCAF	Passeriformes	Promeropidae	Telluraves	1	green	#32A287
Prunella_fulvescens	PRUFUL	Passeriformes	Prunellidae	Telluraves	1	green	#32A287
Prunella_himalayana	PRUHIM	Passeriformes	Prunellidae	Telluraves	1	green	#32A287
Pseudopodoces_humilis	PSEHUM	Passeriformes	Paridae	Telluraves	1	green	#32A287
Psilopogon_haemacephalus	PSIHAE	Piciformes	Ramphastidae	Telluraves	1	green	#32A287
Psophia_crepitans	PSOCRE	Gruiformes	Psophiidae	Cursorimorphae	4	orange	#E4D6A0
Pterocles_burchelli	PTEBUR	Pterocliformes	Pteroclidae	Columbimorphae	6	purple	#F3722C
Pterocles_gutturalis	PTEGUT	Pterocliformes	Pteroclidae	Columbimorphae	6	purple	#F3722C
Pteruthius_melanotis	PTEMEL	Passeriformes	Vireonidae	Telluraves	1	green	#32A287
Ptilonorhynchus_violaceus	PTIVIO	Passeriformes	Ptilonorhynchidae	Telluraves	1	green	#32A287
Ptilorrhoa_leucosticta	PTILEU	Passeriformes	Cinclosomatidae	Telluraves	1	green	#32A287
Pycnonotus_jocosus	PYCJOC	Passeriformes	Pycnonotidae	Telluraves	1	green	#32A287
Pygoscelis_adeliae	PYGADE	Sphenisciformes	Spheniscidae	Aequornithes	2	darkblue	#1F7A8C
Quiscalus_mexicanus	QUIMEX	Passeriformes	Icteridae	Telluraves	1	green	#32A287
Ramphastos_sulfuratus	RAMSUL	Piciformes	Ramphastidae	Telluraves	1	green	#32A287
Regulus_satrapa	REGSAT	Passeriformes	Regulidae	Telluraves	1	green	#32A287
Rhabdornis_inornatus	RHAINO	Passeriformes	Sturnidae	Telluraves	1	green	#32A287
Rhadina_sibilatrix	RHASIB	Passeriformes	Phylloscopidae	Telluraves	1	green	#32A287
Rhagologus_leucostigma	RHALEU	Passeriformes	Rhagologidae	Telluraves	1	green	#32A287
Rhea_americana	RHEAME	Rheiformes	Rheidae	Palaeognathae	NA	black	#570407
Rhea_pennata	RHEPEN	Rheiformes	Rheidae	Palaeognathae	NA	black	#570407
Rhegmatorhina_hoffmannsi	RHEHOF	Passeriformes	Thamnophilidae	Telluraves	1	green	#32A287
Rhinopomastus_cyanomelas	RHICYA	Bucerotiformes	Phoeniculidae	Telluraves	1	green	#32A287
Rhinoptilus_africanus	RHIAFR	Charadriiformes	Glareolidae	Cursorimorphae	4	yellow	#E4D6A0
Rhipidura_dahli	RHIDAH	Passeriformes	Rhipiduridae	Telluraves	1	green	#32A287
Rhodinocichla_rosea	RHOROS	Passeriformes	Rhodinocichlidae	Telluraves	1	green	#32A287
Rhynochetos_jubatus	RHYJUB	Eurypygiformes	Rhynochetidae	Phaethontimorphae	3	lightblue	#5C6F83
Rissa_tridactyla	RISTRI	Charadriiformes	Laridae	Cursorimorphae	4	yellow	#E4D6A0
Rostratula_benghalensis	ROSBEN	Charadriiformes	Rostratulidae	Cursorimorphae	4	yellow	#E4D6A0
Rynchops_niger	RYNNIG	Charadriiformes	Laridae	Cursorimorphae	4	yellow	#E4D6A0
Sagittarius_serpentarius	SAGSER	Accipitriformes	Sagittariidae	Telluraves	1	green	#32A287
Sakesphorus_luctuosus	SAKLUC	Passeriformes	Thamnophilidae	Telluraves	1	green	#32A287
Sapayoa_aenigma	SAPAEN	Passeriformes	Sapayoidae	Telluraves	1	green	#32A287
Saxicola_maurus	SAXMAU	Passeriformes	Muscicapidae	Telluraves	1	green	#32A287
Sclerurus_mexicanus	SCLMEX	Passeriformes	Scleruridae	Telluraves	1	green	#32A287
Scopus_umbretta	SCOUMB	Pelecaniformes	Scopidae	Aequornithes	2	darkblue	#1F7A8C
Scytalopus_superciliaris	SCYSUP	Passeriformes	Rhinocryptidae	Telluraves	1	green	#32A287
Semnornis_frantzii	SEMFRA	Piciformes	Ramphastidae	Telluraves	1	green	#32A287
Serilophus_lunatus	SERLUN	Passeriformes	Eurylaimidae	Telluraves	1	green	#32A287
Serinus_canaria	SERCAN	Passeriformes	Fringillidae	Telluraves	1	green	#32A287
Setophaga_coronata	SETCOR	Passeriformes	Parulidae	Telluraves	1	green	#32A287
Setophaga_kirtlandii	SETKIR	Passeriformes	Parulidae	Telluraves	1	green	#32A287
Sinosuthora_webbiana	SINWEB	Passeriformes	Sylviidae	Telluraves	1	green	#32A287
Sitta_europaea	SITEUR	Passeriformes	Sittidae	Telluraves	1	green	#32A287
Smithornis_capensis	SMICAP	Passeriformes	Calyptomenidae	Telluraves	1	green	#32A287
Spizaetus_tyrannus	SPITYR	Accipitriformes	Accipitridae	Telluraves	1	green	#32A287
Spizella_passerina	SPIPAS	Passeriformes	Passerellidae	Telluraves	1	green	#32A287
Sporophila_hypoxantha	SPOHYP	Passeriformes	Thraupidae	Telluraves	1	green	#32A287
Steatornis_caripensis	STECAR	Strisores	Steatornithidae	Strisores	8	brown	#C4D6B0
Stercorarius_parasiticus	STEPAR	Charadriiformes	Stercorariidae	Cursorimorphae	4	yellow	#E4D6A0
Sterrhoptilus_dennistouni	STEDEN	Passeriformes	Zosteropidae	Telluraves	1	green	#32A287
Strix_occidentalis	STROCC	Strigiformes	Strigidae	Telluraves	1	green	#32A287
Struthidea_cinerea	STRCIN	Passeriformes	Corcoracidae	Telluraves	1	green	#32A287
Struthio_camelus	STRCAM	Struthioniformes	Struthionidae	Palaeognathae	NA	black	#570407
Sturnus_vulgaris	STUVUL	Passeriformes	Sturnidae	Telluraves	1	green	#32A287
Sula_dactylatra	SULDAC	Pelecaniformes	Sulidae	Aequornithes	2	darkblue	#1F7A8C
Sylvia_atricapilla	SYLATR	Passeriformes	Sylviidae	Telluraves	1	green	#32A287
Sylvia_borin	SYLBOR	Passeriformes	Sylviidae	Telluraves	1	green	#32A287
Sylvietta_virens	SYLVIR	Passeriformes	Macrosphenidae	Telluraves	1	green	#32A287
Syrrhaptes_paradoxus	SYRPAR	Pterocliformes	Pteroclidae	Columbimorphae	6	purple	#F3722C
Tachuris_rubrigastra	TACRUB	Passeriformes	Tachurididae	Telluraves	1	green	#32A287
Taeniopygia_guttata	TAEGUT	Passeriformes	Estrildidae	Telluraves	1	green	#32A287
Tauraco_erythrolophus	TAUERY	Musophagiformes	Musophagidae	Otidimorphae	5	red	#F8961E
Thalassarche_chlororhynchos	THACHL	Procellariiformes	Diomedeidae	Aequornithes	2	darkblue	#1F7A8C
Thinocorus_orbignyianus	THIORB	Charadriiformes	Thinocoridae	Cursorimorphae	4	yellow	#E4D6A0
Thryothorus_ludovicianus	THRLUD	Passeriformes	Troglodytidae	Telluraves	1	green	#32A287
Tichodroma_muraria	TICMUR	Passeriformes	Sittidae	Telluraves	1	green	#32A287
Tinamus_guttatus	TINGUT	Tinamiformes	Tinamidae	Palaeognathae	NA	black	#570407
Todus_mexicanus	TODMEX	Coraciiformes	Todidae	Telluraves	1	green	#32A287
Toxostoma_redivivum	TOXRED	Passeriformes	Mimidae	Telluraves	1	green	#32A287
Tricholaema_leucomelas	TRILEU	Piciformes	Ramphastidae	Telluraves	1	green	#32A287
Trogon_melanurus	TROMEL	Trogoniformes	Trogonidae	Telluraves	1	green	#32A287
Turnix_velox	TURVEL	Charadriiformes	Turnicidae	Cursorimorphae	4	yellow	#E4D6A0
Tympanuchus_cupido	TYMCUP	Galliformes	Phasianidae	Galloanseres	NA	black	#7D0D14
Tyrannus_savana	TYRSAV	Passeriformes	Tyrannidae	Telluraves	1	green	#32A287
Tyto_alba	TYTALB	Strigiformes	Tytonidae	Telluraves	1	green	#32A287
Upupa_epops	UPUEPO	Bucerotiformes	Upupidae	Telluraves	1	green	#32A287
Uria_lomvia	URIAAL	Charadriiformes	Alcidae	Cursorimorphae	4	yellow	#E4D6A0
Uria_aalge	URILOM	Charadriiformes	Alcidae	Cursorimorphae	4	yellow	#E4D6A0
Urocolius_indicus	UROIND	Coliiformes	Coliidae	Telluraves	1	green	#32A287
Urocynchramus_pylzowi	UROPYL	Passeriformes	Urocynchramidae	Telluraves	1	green	#32A287
Vidua_chalybeata	VIDCHA	Passeriformes	Viduidae	Telluraves	1	green	#32A287
Vidua_macroura	VIDMAC	Passeriformes	Viduidae	Telluraves	1	green	#32A287
Vireo_altiloquus	VIRALT	Passeriformes	Vireonidae	Telluraves	1	green	#32A287
Xiphorhynchus_elegans	XIPELE	Passeriformes	Furnariidae	Telluraves	1	green	#32A287
Zapornia_atra	ZAPATR	Gruiformes	Rallidae	Cursorimorphae	4	orange	#E4D6A0
Zonotrichia_albicollis	ZONALB	Passeriformes	Passerellidae	Telluraves	1	green	#32A287
Zosterops_hypoxanthus	ZOSHYP	Passeriformes	Zosteropidae	Telluraves	1	green	#32A287
Zosterops_lateralis	ZOSLAT	Passeriformes	Zosteropidae	Telluraves	1	green	#32A287
