order,age,method
Strisores,66.9834,wLogDate+CASTLES-Pro
Pelecaniformes,60.5518,wLogDate+CASTLES-Pro
Charadriiformes,46.8368,wLogDate+CASTLES-Pro
Passeriformes,37.951,wLogDate+CASTLES-Pro
Falconiformes,29.7841,wLogDate+ConBL
Musophagiformes,23.7086,wLogDate+ConBL
Otidiformes,14.0674,wLogDate+ConBL
Pterocliformes,14.5306,wLogDate+ConBL
Apterygiformes,2.45855,wLogDate+ConBL
Bucerotiformes,62,wLogDate+ConBL
Strigiformes,55.119,wLogDate+ConBL
Columbiformes,20.9565,wLogDate+ConBL
Psittaciformes,30.346,wLogDate+ConBL
Anseriformes,60.1188,wLogDate+ConBL
Cuculiformes,42.8476,wLogDate+ConBL
Gruiformes,60.76,wLogDate+ConBL
Procellariiformes,38.5,wLogDate+ConBL
Accipitriformes,64.7446,wLogDate+ConBL
Coraciiformes,61.1756,wLogDate+ConBL
Piciformes,61.1379,wLogDate+ConBL
Tinamiformes,30.6004,wLogDate+ConBL
Galliformes,57.3885,wLogDate+ConBL
Strisores,66.1868,wLogDate+ConBL
Pelecaniformes,59.7099,wLogDate+ConBL
Charadriiformes,49.8982,wLogDate+ConBL
Passeriformes,38.3315,wLogDate+ConBL
