,Taxon,Branch Type,l1,l2,l1/l2,Method
610,Ibidorhyncha struthersii,terminal,16.31810517,13.77388277,1.184713522,wLogDate
611,  ,internal,5.05138897,8.526796737,0.592413438,wLogDate
612,  ,internal,9.827676416,22.7026442,0.432886862,wLogDate
613,Chionis minor,terminal,6.908768709,8.738857709,0.790580295,wLogDate
614,Pluvianellus socialis,terminal,6.908768709,8.738857709,0.790580295,wLogDate
615,  ,internal,20.11705781,30.58739311,0.657691152,wLogDate
616,Burhinus bistriatus,terminal,27.02582652,39.32625081,0.687221028,wLogDate
617,  ,internal,4.171344038,5.677072896,0.734770209,wLogDate
618,  ,internal,15.63967786,4.894862338,3.195121084,wLogDate
619,  ,internal,22.81643102,18.31000523,1.246118214,wLogDate
620,Balearica regulorum,terminal,11.73146447,11.07094571,1.059662361,wLogDate
621,Grus americana,terminal,11.73146447,11.07094571,1.059662361,wLogDate
622,  ,internal,6.017615884,6.458844752,0.931686101,wLogDate
623,Aramus guarauna,terminal,17.74908035,17.52979046,1.012509556,wLogDate
624,  ,internal,39.81397106,39.46529558,1.00883499,wLogDate
625,Psophia crepitans,terminal,57.56305142,56.99508604,1.009965164,wLogDate
626,  ,internal,3.196948585,3.76491396,0.849142535,wLogDate
627,Atlantisia rogersi,terminal,12.35445187,14.76288229,0.836859065,wLogDate
628,Zapornia atra,terminal,12.35445187,14.76288229,0.836859065,wLogDate
629,  ,internal,30.98530693,27.44642204,1.128937932,wLogDate
630,Heliornis fulica,terminal,43.3397588,42.20930433,1.026782116,wLogDate
631,  ,internal,17.4202412,18.55069567,0.939061344,wLogDate
632,  ,internal,8.893279441,7.44819128,1.194018669,wLogDate
633,  ,internal,0.604718847,0.617158364,0.979843882,wLogDate
634,Opisthocomus hoazin,terminal,70.25799829,68.82534964,1.020815712,wLogDate
635,  ,internal,0.530590453,0.412965581,1.284829721,wLogDate
636,  ,internal,0.230690394,0.609796921,0.378306919,wLogDate
637,  ,internal,0.671118126,0.527649322,1.271901806,wLogDate
638,Ceuthmochares aereus,terminal,22.48785487,20.57277925,1.093087842,wLogDate
639,Piaya cayana,terminal,22.48785487,20.57277925,1.093087842,wLogDate
640,  ,internal,6.019637219,7.639941539,0.78791666,wLogDate
641,Cuculus canorus,terminal,28.50749209,28.21272079,1.01044817,wLogDate
642,  ,internal,8.602074882,9.906053578,0.868365471,wLogDate
643,Centropus bengalensis,terminal,5.03989066,8.409004647,0.599344497,wLogDate
644,Centropus unirufus,terminal,5.03989066,8.409004647,0.599344497,wLogDate
645,  ,internal,32.06967632,29.70976972,1.079432005,wLogDate
646,  ,internal,4.827019793,4.728853269,1.020759055,wLogDate
