,Taxon,Node Type,l1,l2,l1/l2,Method
90,  ,internal,27.771,23.881,1.162891001,MD-Cat
91,  ,internal,15.506,12.647,1.226061517,MD-Cat
92,  ,internal,22.396,19.502,1.148395036,MD-Cat
93,  ,internal,24.327,21.196,1.14771655,MD-Cat
94,  ,internal,25.328,21.949,1.153947788,MD-Cat
95,  ,internal,12.035,1.971,6.106037544,MD-Cat
96,  ,internal,25.529,22.72,1.123635563,MD-Cat
97,  ,internal,27.971,24.816,1.127135719,MD-Cat
98,  ,internal,28.045,25.168,1.114311825,MD-Cat
99,  ,internal,23.651,22.197,1.065504347,MD-Cat
100,  ,internal,24.329,23.052,1.055396495,MD-Cat
101,  ,internal,10.862,10.659,1.019044939,MD-Cat
102,  ,internal,27.604,24.685,1.118249949,MD-Cat
103,  ,internal,28.149,25.232,1.115607166,MD-Cat
104,  ,internal,28.199,25.29,1.115025702,MD-Cat
105,  ,internal,28.408,25.437,1.116798365,MD-Cat
106,  ,internal,28.628,25.608,1.117931896,MD-Cat
107,  ,internal,26.666,24.092,1.106840445,MD-Cat
108,  ,internal,28.701,25.684,1.117466127,MD-Cat
109,  ,internal,6.403,6.188,1.034744667,MD-Cat
110,  ,internal,9.026,9.066,0.995587911,MD-Cat
111,  ,internal,23.8,23.403,1.016963637,MD-Cat
112,  ,internal,29.13,26.137,1.114511994,MD-Cat
113,  ,internal,29.259,26.248,1.114713502,MD-Cat
114,  ,internal,19.244,19.334,0.995344988,MD-Cat
115,  ,internal,28.809,25.469,1.131139817,MD-Cat
116,  ,internal,30.031,27.115,1.107541951,MD-Cat
117,  ,internal,27.411,24.44,1.121563011,MD-Cat
118,  ,internal,30.209,27.227,1.109523635,MD-Cat
119,  ,internal,30.314,27.389,1.106794699,MD-Cat
120,  ,internal,30.432,27.487,1.107141558,MD-Cat
121,  ,internal,15.729,15.003,1.048390322,MD-Cat
122,  ,internal,19.781,17.748,1.114548118,MD-Cat
123,  ,internal,23.611,20.406,1.157061649,MD-Cat
124,  ,internal,23.124,20.058,1.152856716,MD-Cat
125,  ,internal,24.499,21.211,1.155013908,MD-Cat
126,  ,internal,22.534,19.317,1.166537247,MD-Cat
127,  ,internal,24.899,21.575,1.154067207,MD-Cat
128,  ,internal,25.319,21.906,1.155802063,MD-Cat
129,  ,internal,28.902,22.425,1.288829431,MD-Cat
130,  ,internal,18.079,16.764,1.078441899,MD-Cat
131,  ,internal,19.176,17.638,1.087198095,MD-Cat
132,  ,internal,19.397,18.756,1.03417573,MD-Cat
133,  ,internal,19.52,19.52,1,MD-Cat
134,  ,internal,19.929,20.013,0.995802728,MD-Cat
135,  ,internal,28.962,22.716,1.27496038,MD-Cat
136,  ,internal,29.448,22.941,1.283640643,MD-Cat
137,  ,internal,0.477,0.783,0.609195402,MD-Cat
138,  ,internal,1.69,2.272,0.743838028,MD-Cat
139,  ,internal,10.241,7.316,1.399808639,MD-Cat
140,  ,internal,17.684,14.606,1.210735314,MD-Cat
141,  ,internal,18.291,15.849,1.154079122,MD-Cat
142,  ,internal,18.977,16.489,1.150888471,MD-Cat
143,  ,internal,19.431,16.766,1.158952642,MD-Cat
144,  ,internal,19.491,17.08,1.141159251,MD-Cat
145,  ,internal,20.358,17.639,1.15414706,MD-Cat
146,  ,internal,16.646,14.353,1.159757542,MD-Cat
147,  ,internal,20.398,18.049,1.130145714,MD-Cat
148,  ,internal,29.799,23.193,1.284827319,MD-Cat
149,  ,internal,29.884,23.717,1.260024455,MD-Cat
150,  ,internal,30.254,25.399,1.191149258,MD-Cat
151,  ,internal,30.82,27.858,1.106324934,MD-Cat
152,  ,internal,26.25,26.25,1,MD-Cat
153,  ,internal,31.04,28.077,1.105531218,MD-Cat
154,  ,internal,21.615,14.688,1.471609477,MD-Cat
155,  ,internal,22.093,22.084,1.000407535,MD-Cat
156,  ,internal,22.24,22.24,1,MD-Cat
157,  ,internal,25.301,24.825,1.01917422,MD-Cat
158,  ,internal,31.58,30.275,1.043104872,MD-Cat
159,  ,internal,22.186,27.032,0.820730985,MD-Cat
160,  ,internal,32.594,31.494,1.034927288,MD-Cat
161,  ,internal,26.77,26.77,1,MD-Cat
162,  ,internal,33.075,31.995,1.033755274,MD-Cat
163,  ,internal,16.537,16.583,0.997226075,MD-Cat
164,  ,internal,19.438,17.535,1.108525806,MD-Cat
165,  ,internal,20.089,17.61,1.140772288,MD-Cat
166,  ,internal,21.862,18.891,1.157270658,MD-Cat
167,  ,internal,23.799,19.841,1.199485913,MD-Cat
168,  ,internal,24.846,21.074,1.178988327,MD-Cat
169,  ,internal,24.922,21.531,1.157493846,MD-Cat
170,  ,internal,25.096,22.315,1.124624692,MD-Cat
171,  ,internal,6.562,6.974,0.94092343,MD-Cat
172,  ,internal,25.299,23.411,1.08064585,MD-Cat
173,  ,internal,8.7,7.107,1.224145209,MD-Cat
174,  ,internal,15.863,13.612,1.165368792,MD-Cat
175,  ,internal,18.753,15.451,1.213707851,MD-Cat
176,  ,internal,25.72,24.361,1.055785887,MD-Cat
177,  ,internal,30.601,27.931,1.095592711,MD-Cat
178,  ,internal,30.92,30.264,1.021675919,MD-Cat
179,  ,internal,7.25,15.873,0.456750457,MD-Cat
180,  ,internal,31.202,30.619,1.019040465,MD-Cat
181,  ,internal,32.467,32.199,1.00832324,MD-Cat
182,  ,internal,28.064,28.24,0.993767705,MD-Cat
183,  ,internal,26.895,24.281,1.107656192,MD-Cat
184,  ,internal,32.031,29.543,1.084216227,MD-Cat
185,  ,internal,16.805,20.316,0.827180547,MD-Cat
186,  ,internal,32.174,30.472,1.055854555,MD-Cat
187,  ,internal,33.084,32.91,1.005287147,MD-Cat
188,  ,internal,33.98,33.98,1,MD-Cat
189,  ,internal,38.153,38.498,0.991038496,MD-Cat
190,  ,internal,17.275,19.773,0.87366611,MD-Cat
191,  ,internal,20.99,23.012,0.9121328,MD-Cat
192,  ,internal,9.279,9.224,1.005962706,MD-Cat
193,  ,internal,23.303,25.73,0.90567431,MD-Cat
194,  ,internal,27.603,30.523,0.904334436,MD-Cat
195,  ,internal,56.68,56.68,1,MD-Cat
196,  ,internal,0.579,1.107,0.52303523,MD-Cat
197,  ,internal,25.097,20.49,1.224841386,MD-Cat
198,  ,internal,58.181,60.935,0.9548043,MD-Cat
199,  ,internal,4.741,9.658,0.490888383,MD-Cat
200,  ,internal,61.712,64.114,0.962535484,MD-Cat
201,  ,internal,11.883,10.481,1.133765862,MD-Cat
202,  ,internal,13.066,12.109,1.079032125,MD-Cat
203,  ,internal,22.339,21.344,1.046617316,MD-Cat
204,  ,internal,24.074,23.971,1.004296859,MD-Cat
205,  ,internal,24.066,25.987,0.926078424,MD-Cat
206,  ,internal,30.128,33.997,0.886195841,MD-Cat
207,  ,internal,50.061,52.767,0.948717949,MD-Cat
208,  ,internal,65.921,66.336,0.99374397,MD-Cat
209,  ,internal,32.187,30.659,1.049838547,MD-Cat
210,  ,internal,33.378,30.931,1.079111571,MD-Cat
211,  ,internal,39.478,39.357,1.003074421,MD-Cat
212,  ,internal,39.98,39.98,1,MD-Cat
213,  ,internal,41,40.794,1.005049762,MD-Cat
214,  ,internal,59.91,59.91,1,MD-Cat
215,  ,internal,60.178,60.235,0.999053706,MD-Cat
216,  ,internal,66.834,67.227,0.994154134,MD-Cat
217,  ,internal,27.493,27.624,0.995257747,MD-Cat
218,  ,internal,32.825,33.406,0.982607915,MD-Cat
219,  ,internal,62,62,1,MD-Cat
220,  ,internal,67.158,67.527,0.994535519,MD-Cat
221,  ,internal,18.843,20.975,0.898355185,MD-Cat
222,  ,internal,67.575,67.763,0.997225625,MD-Cat
223,  ,internal,67.752,67.864,0.99834964,MD-Cat
224,  ,internal,18.155,35.432,0.51238993,MD-Cat
225,  ,internal,67.99,67.99,1,MD-Cat
226,  ,internal,0.238,0.08,2.975,MD-Cat
227,  ,internal,3.182,3.399,0.936157693,MD-Cat
228,  ,internal,6.268,8.675,0.722536023,MD-Cat
229,  ,internal,7.097,9.48,0.748628692,MD-Cat
